name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
The Haunting of Bly Manor,9,en,955,7.668,2
Project Blue Book,20,en,949,8.188,3
Planet Earth,11,en,948,8.524,3
Big Mouth,71,en,939,7.8,2
Young Royals,18,sv,935,8.626,3
Assassination Classroom,47,ja,934,8.468,3
Full House,192,en,934,7.57,2
Harley Quinn,47,en,933,8.448,3
Marvel's Ultimate Spider-Man,103,en,932,7.671,2
Uzaki-chan Wants to Hang Out!,25,ja,929,8.4,3
Moses and the Ten Commandments,265,pt,928,7.825,2
It's Always Sunny in Philadelphia,169,en,927,8.3,3
Dexter: New Blood,10,en,924,8.132,3
Ms. Marvel,6,en,922,6.559,2
ERASED,12,ja,922,8.539,3
Swamp Thing,10,en,920,7.489,2
Spider-Man,65,en,918,8.3,3
Sleepy Hollow,62,en,917,7.4,2
Disenchantment,50,en,917,7.51,2
Miracle Doctor,64,tr,915,8.063,3
Shadow Hunter,13,en,915,8.6,3
The Sinner,32,en,914,7.5,2
Ragnarok,18,no,914,7.929,2
Rosario Tijeras,60,es,913,7.284,2
Ned's Declassified School Survival Guide,55,en,911,8.523,3
Boardwalk Empire,56,en,908,7.991,2
Normal People,12,en,907,8.073,3
Scooby-Doo! Mystery Incorporated,52,en,904,8.243,3
Luther,20,en,903,7.865,2
Shadowhunters,55,en,902,7.579,2
Stargate Atlantis,100,en,901,8.017,3
The Great,30,en,898,8.17,3
Monk,125,en,897,7.895,2
The Bible,5,en,895,7.361,2
Dinosaurs,65,en,889,7.779,2
Akame ga Kill!,24,ja,889,8.432,3
New Amsterdam,89,en,886,8.457,3
Married... with Children,258,en,883,7.7,2
The Grim Adventures of Billy and Mandy,184,en,880,8.068,3
Chuck,91,en,879,7.7,2
The Wonder Years,115,en,878,8.363,3
Everybody Hates Chris,88,en,877,8.0,2
Another,12,ja,876,8.5,3
American Crime Story,29,en,875,7.565,2
The Night Of,8,en,875,7.966,2
Your Lie in April,22,ja,870,8.594,3
My Name Is Earl,96,en,868,7.7,2
