Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
As Good as It Gets,1997,139,7.7,"3,12,284",$148.48M,James L. Brooks,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear', 'Cuba Gooding Jr.']",Low
Happiness,1998,134,7.7,"73,196",$2.81M,Todd Solondz,"['Jane Adams', 'Jon Lovitz', 'Philip Seymour Hoffman', 'Dylan Baker']",Low
The Lego Movie,2014,100,7.7,"3,79,557",$257.76M,"Directors:Phil Lord, Christopher Miller","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett']",Low
The Color Purple,1985,154,7.7,"92,560",$98.47M,Steven Spielberg,"['Danny Glover', 'Whoopi Goldberg', 'Oprah Winfrey', 'Margaret Avery']",Low
The Magnificent Seven,1960,128,7.7,"1,00,173",$4.91M,John Sturges,"['Yul Brynner', 'Steve McQueen', 'Charles Bronson', 'Eli Wallach']",Low
Road to Perdition,2002,117,7.7,"2,79,577",$104.45M,Sam Mendes,"['Tom Hanks', 'Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken']",Low
Donnie Brasco,1997,127,7.7,"3,23,946",$41.91M,Mike Newell,"['Al Pacino', 'Johnny Depp', 'Michael Madsen', 'Bruno Kirby']",Low
Empire of the Sun,1987,153,7.7,"1,31,936",$22.24M,Steven Spielberg,"['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers']",Low
Primal Fear,1996,129,7.7,"2,39,572",$56.12M,Gregory Hoblit,"['Richard Gere', 'Laura Linney', 'Edward Norton', 'John Mahoney']",Low
The Quiet Man,1952,129,7.7,"41,213",$10.55M,John Ford,"['John Wayne', ""Maureen O'Hara"", 'Barry Fitzgerald', 'Ward Bond']",Low
Fried Green Tomatoes,1991,130,7.7,"79,859",$82.42M,Jon Avnet,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']",Low
"O Brother, Where Art Thou?",2000,107,7.7,"3,24,480",$45.51M,"Directors:Joel Coen, Ethan Coen","['George Clooney', 'John Turturro', 'Tim Blake Nelson', 'John Goodman']",Low
Wreck-It Ralph,2012,101,7.7,"4,46,782",$189.42M,Rich Moore,"['John C. Reilly', 'Jack McBrayer', 'Jane Lynch', 'Sarah Silverman']",Low
GATTACA,1997,106,7.7,"3,16,857",$12.34M,Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']",Low
Sense and Sensibility,1995,136,7.7,"1,22,444",$43.18M,Ang Lee,"['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson']",Low
Naked,1993,131,7.7,"42,531",$1.77M,Mike Leigh,"['David Thewlis', 'Lesley Sharp', 'Katrin Cartlidge', 'Greg Cruttwell']",Low
The Fault in Our Stars,2014,126,7.7,"3,93,693",$124.87M,Josh Boone,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff', 'Laura Dern']",Low
3:10 to Yuma,2007,122,7.7,"3,25,589",$53.61M,James Mangold,"['Russell Crowe', 'Christian Bale', 'Ben Foster', 'Logan Lerman']",Low
Kung fu,2004,99,7.7,"1,47,586",$17.11M,Stephen Chow,"['Stephen Chow', 'Wah Yuen', 'Qiu Yuen', 'Siu-Lung Leung']",Low
Apollo 13,I 1995,140,7.7,"3,08,321",$173.84M,Ron Howard,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise']",Low
Philadelphia,1993,125,7.7,"2,53,010",$77.32M,Jonathan Demme,"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']",Low
The Bourne Supremacy,2004,108,7.7,"4,79,501",$176.24M,Paul Greengrass,"['Matt Damon', 'Franka Potente', 'Joan Allen', 'Brian Cox']",Low
