Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
1917,2019,119,8.2,"6,46,317",$159.23M,Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']",Moderate
V for Vendetta,2005,132,8.2,"11,57,906",$70.51M,James McTeigue,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']",Moderate
Pan's Labyrinth,2006,118,8.2,"6,90,941",$37.63M,Guillermo del Toro,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López', 'Maribel Verdú']",Moderate
Finding Nemo,2003,100,8.2,"10,87,685",$380.84M,"Directors:Andrew Stanton, Lee Unkrich","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']",Moderate
Gone with the Wind,1939,238,8.2,"3,27,648",$198.68M,"Directors:Victor Fleming, George Cukor, Sam Wood","['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",Moderate
Unforgiven,1992,130,8.2,"4,27,680",$101.16M,Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']",Moderate
L.A. Confidential,1997,138,8.2,"6,03,376",$64.62M,Curtis Hanson,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger']",Moderate
Chinatown,1974,130,8.2,"3,41,382",#157,Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']",Moderate
Indiana Jones and the Last Crusade,1989,127,8.2,"7,94,402",$197.17M,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']",Moderate
Der Untergang,2004,156,8.2,"3,68,183",$5.51M,Oliver Hirschbiegel,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']",Moderate
The Father,I 2020,97,8.2,"1,79,397",#133,Florian Zeller,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']",Moderate
Monty Python and the Holy Grail,1975,91,8.2,"5,60,191",$1.23M,"Directors:Terry Gilliam, Terry Jones","['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam']",Moderate
El secreto de sus ojos,2009,129,8.2,"2,17,953",$6.39M,Juan José Campanella,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Carla Quevedo']",Moderate
The Great Escape,1963,172,8.2,"2,53,914",$12.10M,John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']",Moderate
Some Like It Hot,1959,121,8.2,"2,77,887",$25.00M,Billy Wilder,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']",Moderate
Tumbbad,2018,104,8.2,"55,880",*****,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty']",Moderate
The Elephant Man,1980,124,8.2,"2,52,874",#156,David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']",Moderate
Ran,1985,160,8.2,"1,32,570",$4.14M,Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']",Moderate
Per qualche dollaro in più,1965,132,8.2,"2,68,158",$15.00M,Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp']",Moderate
Klaus,2019,96,8.2,"1,72,934",#177,"Directors:Sergio Pablos, Carlos Martínez López","['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']",Moderate
Dial M for Murder,1954,105,8.2,"1,84,457",$0.01M,Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']",Moderate
Drishyam 2,2022,140,8.2,"40,991",*****,Abhishek Pathak,"['Ajay Devgn', 'Akshaye Khanna', 'Tabu', 'Shriya Saran']",Moderate
Gangs of Wasseypur,2012,321,8.2,"1,01,210",*****,Anurag Kashyap,"['Manoj Bajpayee', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia', 'Richa Chadha']",Moderate
All About Eve,1950,138,8.2,"1,36,214",$0.01M,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",Moderate
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,8.2,"68,587",$47.70M,Haruo Sotozaki,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono']",Moderate
Rashômon,1950,88,8.2,"1,76,285",$0.10M,Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']",Moderate
Miracle in Cell No. 7,2019,132,8.2,"53,422",*****,Mehmet Ada Öztekin,"['Aras Bulut Iynemli', 'Nisa Sofiya Aksongur', 'Deniz Baysal', 'Celile Toyon Uysal']",Moderate
Yôjinbô,1961,110,8.2,"1,28,441",#148,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']",Moderate
Andhadhun,2018,139,8.2,"99,457",$1.37M,Sriram Raghavan,"['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']",Moderate
Drishyam,2015,163,8.2,"91,333",$0.74M,Nishikant Kamat,"['Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor']",Moderate
The Treasure of the Sierra Madre,1948,126,8.2,"1,30,130",$5.01M,John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']",Moderate
Bacheha-Ye aseman,1997,89,8.2,"78,603",$0.93M,Majid Majidi,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi']",Moderate
Le salaire de la peur,1953,131,8.2,"64,744",#197,Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli']",Moderate
Pather Panchali,1955,125,8.2,"36,570",$0.54M,Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi']",Moderate
The Kid,1921,68,8.2,"1,32,014",$5.45M,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']",Moderate
Z,1969,127,8.2,"30,643",$0.08M,Costa-Gavras,"['Yves Montand', 'Irene Papas', 'Jean-Louis Trintignant', 'François Périer']",Moderate
To Be or Not to Be,1942,99,8.2,"41,192",#232,Ernst Lubitsch,"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart']",Moderate
Vikram Vedha,2017,147,8.2,"49,235",*****,"Directors:Gayatri, Pushkar, Gowtham Selvaraj","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']",Moderate
Uri: The Surgical Strike,2019,138,8.2,"69,507",$4.19M,Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']",Moderate
K.G.F: Chapter 1,2018,154,8.2,"94,572",*****,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']",Moderate
Sherlock Jr.,1924,45,8.2,"54,557",$0.98M,Buster Keaton,"['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']",Moderate
Kantara,2022,148,8.2,"98,736",*****,Rishab Shetty,"['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda']",Moderate
Zindagi Na Milegi Dobara,2011,155,8.2,"83,499",$3.11M,Zoya Akhtar,"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']",Moderate
Dersu Uzala,1975,142,8.2,"32,610",*****,Akira Kurosawa,"['Maksim Munzuk', 'Yuriy Solomin', 'Mikhail Bychkov', 'Vladimir Khrulyov']",Moderate
Baahubali 2: The Conclusion,2017,167,8.2,"1,10,020",$20.19M,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']",Moderate
Babam ve Oglum,2005,112,8.2,"90,215",#231,Çagan Irmak,"['Çetin Tekindor', 'Fikret Kuskan', 'Hümeyra', 'Ege Tanman']",Moderate
Umberto D.,1952,89,8.2,"27,456",$0.07M,Vittorio De Sica,"['Carlo Battisti', 'Maria Pia Casilio', 'Lina Gennari', 'Ileana Simova']",Moderate
"Swades: We, the People",2004,210,8.2,"95,679",$1.22M,Ashutosh Gowariker,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']",Moderate
Bhaag Milkha Bhaag,2013,186,8.2,"70,908",$1.63M,Rakeysh Omprakash Mehra,"['Farhan Akhtar', 'Deepak Singh Rawat', 'Japtej Singh', 'Divya Dutta']",Moderate
Rangasthalam,2018,170,8.2,"26,732",$3.51M,Sukumar,"['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi', 'Jagapathi Babu']",Moderate
Paan Singh Tomar,2012,135,8.2,"37,421",$0.04M,Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']",Moderate
Killers of the Flower Moon,2023,206,8.1,"44,317",*****,Martin Scorsese,"['Leonardo DiCaprio', 'Robert De Niro', 'Lily Gladstone', 'Jesse Plemons']",Moderate
The Exorcist,1973,122,8.1,"4,40,503",$232.91M,William Friedkin,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']",Moderate
Rocky,1976,120,8.1,"6,12,407",$117.24M,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",Moderate
Gone Girl,2014,149,8.1,"10,35,122",$167.77M,David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']",Moderate
Prisoners,2013,153,8.1,"7,76,164",$61.00M,Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']",Moderate
Mad Max: Fury Road,2015,120,8.1,"10,53,140",$154.06M,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']",Moderate
Ah-ga-ssi,2016,145,8.1,"1,64,271",$2.01M,Park Chan-wook,"['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong', 'Moon So-ri']",Moderate
Jaws,1975,124,8.1,"6,43,193",$260.00M,Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']",Moderate
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,"11,79,293",$305.41M,Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']",Moderate
Blade Runner,1982,117,8.1,"8,03,544",$32.87M,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']",Moderate
The Big Lebowski,1998,117,8.1,"8,41,350",$17.50M,"Directors:Joel Coen, Ethan Coen","['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi']",Moderate
Stand by Me,1986,89,8.1,"4,29,052",$52.29M,Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]",Moderate
Hacksaw Ridge,2016,139,8.1,"5,71,381",$67.21M,Mel Gibson,"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']",Moderate
Catch Me If You Can,2002,141,8.1,"10,54,601",$164.62M,Steven Spielberg,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']",Moderate
Fargo,1996,98,8.1,"7,05,629",$24.61M,"Directors:Joel Coen, Ethan Coen","['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']",Moderate
Harry Potter and the Deathly Hallows - Part 2,2011,130,8.1,"9,21,595",$381.01M,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']",Moderate
The Grand Budapest Hotel,2014,99,8.1,"8,62,461",$59.10M,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']",Moderate
Ford v Ferrari,2019,152,8.1,"4,41,054",$117.62M,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']",Moderate
The Terminator,1984,107,8.1,"9,03,541",$38.40M,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']",Moderate
Into the Wild,2007,148,8.1,"6,45,269",$18.35M,Sean Penn,"['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']",Moderate
Ratatouille,2007,111,8.1,"7,93,076",$206.45M,"Directors:Brad Bird, Jan Pinkava","['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Ian Holm']",Moderate
Dead Poets Society,1989,128,8.1,"5,25,307",$95.86M,Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']",Moderate
The Wizard of Oz,1939,102,8.1,"4,18,262",$2.08M,"Directors:Victor Fleming, King Vidor","['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr']",Moderate
Room,I 2015,118,8.1,"4,40,067",$14.68M,Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson']",Moderate
The Deer Hunter,1978,183,8.1,"3,53,903",$48.98M,Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",Moderate
Trainspotting,1996,93,8.1,"7,11,926",$16.50M,Danny Boyle,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd']",Moderate
The Help,2011,146,8.1,"4,81,463",$169.71M,Tate Taylor,"['Viola Davis', 'Emma Stone', 'Octavia Spencer', 'Bryce Dallas Howard']",Moderate
The Bridge on the River Kwai,1957,161,8.1,"2,29,309",$44.91M,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",Moderate
Inside Out,I 2015,95,8.1,"7,58,053",$356.46M,"Directors:Pete Docter, Ronnie Del Carmen","['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']",Moderate
"Monsters, Inc.",2001,92,8.1,"9,53,626",$289.92M,"Directors:Pete Docter, David Silverman, Lee Unkrich","['Billy Crystal', 'John Goodman', 'Mary Gibbs', 'Steve Buscemi']",Moderate
"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,"5,38,681",$54.51M,Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",Moderate
Salinui chueok,2003,131,8.1,"2,05,172",$0.01M,Bong Joon Ho,"['Song Kang-ho', 'Kim Sang-kyung', 'Roe-ha Kim', 'Jae-ho Song']",Moderate
Logan,2017,137,8.1,"8,07,359",$226.28M,James Mangold,"['Hugh Jackman', 'Patrick Stewart', 'Dafne Keen', 'Boyd Holbrook']",Moderate
"Lock, Stock and Two Smoking Barrels",1998,107,8.1,"6,04,595",$3.90M,Guy Ritchie,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham']",Moderate
Raging Bull,1980,129,8.1,"3,70,896",$23.38M,Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']",Moderate
Warrior,2011,140,8.1,"4,89,036",$13.66M,Gavin O'Connor,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']",Moderate
The Sound of Music,1965,172,8.1,"2,50,616",$163.21M,Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']",Moderate
Before Sunrise,1995,101,8.1,"3,29,348",$5.54M,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']",Moderate
Platoon,1986,120,8.1,"4,29,964",$138.53M,Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David']",Moderate
12 Years a Slave,2013,134,8.1,"7,27,328",$56.67M,Steve McQueen,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']",Moderate
How to Train Your Dragon,2010,98,8.1,"7,78,880",$217.58M,"Directors:Dean DeBlois, Chris Sanders","['Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse', 'Craig Ferguson']",Moderate
Spotlight,I 2015,129,8.1,"4,91,254",$45.06M,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",Moderate
Rush,I 2013,123,8.1,"5,01,570",$26.95M,Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']",Moderate
Portrait de la jeune fille en feu,2019,122,8.1,"1,03,573",$3.76M,Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']",Moderate
Hachi: A Dog's Tale,2009,93,8.1,"3,02,258",#233,Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa', 'Sarah Roemer']",Moderate
Fa yeung nin wah,2000,98,8.1,"1,61,364",$2.73M,Kar-Wai Wong,"['Tony Leung Chiu-wai', 'Maggie Cheung', 'Siu Ping-Lam', ""Tung Cho 'Joe' Cheung""]",Moderate
Tonari no Totoro,1988,86,8.1,"3,63,979",$1.11M,Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",Moderate
The Red Shoes,1948,135,8.1,"37,800",$10.90M,"Directors:Michael Powell, Emeric Pressburger","['Anton Walbrook', 'Marius Goring', 'Moira Shearer', 'Robert Helpmann']",Moderate
Million Dollar Baby,2004,132,8.1,"7,09,399",$100.49M,Clint Eastwood,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']",Moderate
La haine,1995,98,8.1,"1,88,668",$0.31M,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili']",Moderate
Gran Torino,2008,116,8.1,"8,00,647",$148.10M,Clint Eastwood,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']",Moderate
"Paris, Texas",1984,145,8.1,"1,13,951",$2.18M,Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Sam Berry']",Moderate
Relatos salvajes,2014,122,8.1,"2,10,484",$3.11M,Damián Szifron,"['Darío Grandinetti', 'María Marull', 'Mónica Villa', 'Diego Starosta']",Moderate
Barry Lyndon,1975,185,8.1,"1,77,917",#187,Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']",Moderate
Stalker,1979,162,8.1,"1,41,025",$0.23M,Andrei Tarkovsky,"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn', 'Nikolay Grinko']",Moderate
Det sjunde inseglet,1957,96,8.1,"1,93,939",#206,Ingmar Bergman,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe']",Moderate
Ben-Hur,1959,212,8.1,"2,48,803",$74.70M,William Wyler,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']",Moderate
Mr. Smith Goes to Washington,1939,129,8.1,"1,19,383",$9.60M,Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']",Moderate
The Iron Giant,1999,86,8.1,"2,17,614",$23.16M,Brad Bird,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']",Moderate
Network,1976,121,8.1,"1,66,386",#222,Sidney Lumet,"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall']",Moderate
On the Waterfront,1954,108,8.1,"1,61,252",$9.60M,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",Moderate
Before Sunset,2004,80,8.1,"2,80,509",$5.82M,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']",Moderate
Cool Hand Luke,1967,127,8.1,"1,85,189",$16.22M,Stuart Rosenberg,"['Paul Newman', 'George Kennedy', 'Strother Martin', 'J.D. Cannon']",Moderate
In the Name of the Father,1993,133,8.1,"1,83,252",$25.01M,Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']",Moderate
OMG: Oh My God!,2012,125,8.1,"63,528",$0.92M,Umesh Shukla,"['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty', 'Mahesh Manjrekar']",Moderate
Amores perros,2000,154,8.1,"2,49,158",$5.38M,Alejandro G. Iñárritu,"['Emilio Echevarría', 'Gael García Bernal', 'Goya Toledo', 'Álvaro Guerrero']",Moderate
Rebecca,1940,130,8.1,"1,43,549",$4.36M,Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']",Moderate
The Third Man,1949,104,8.1,"1,78,322",$0.45M,Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']",Moderate
Persona,1966,85,8.1,"1,27,379",#247,Ingmar Bergman,"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook', 'Gunnar Björnstrand']",Moderate
Koe no katachi,2016,130,8.1,"94,660",*****,Naoko Yamada,"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki', 'Kenshô Ono']",Moderate
Hotel Rwanda,2004,121,8.1,"3,66,651",$23.53M,Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']",Moderate
Ba wang bie ji,1992,171,8.1,"31,916",$5.22M,Kaige Chen,"['Leslie Cheung', 'Fengyi Zhang', 'Gong Li', 'You Ge']",Moderate
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,"61,053",*****,"Directors:Hideaki Anno, Kazuya Tsurumaki","['Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura', 'Kotono Mitsuishi']",Moderate
The Man Who Shot Liberty Valance,1962,123,8.1,"80,425",*****,John Ford,"['James Stewart', 'John Wayne', 'Vera Miles', 'Lee Marvin']",Moderate
Paper Moon,1973,102,8.1,"50,978",$30.93M,Peter Bogdanovich,"[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn', 'John Hillerman']",Moderate
Festen,1998,105,8.1,"91,732",$1.65M,Thomas Vinterberg,"['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen', 'Paprika Steen']",Moderate
PK,2014,153,8.1,"1,96,524",$10.62M,Rajkumar Hirani,"['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt', 'Boman Irani']",Moderate
The Best Years of Our Lives,1946,170,8.1,"68,645",$23.65M,William Wyler,"['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",Moderate
The Grapes of Wrath,1940,129,8.1,"97,994",$0.06M,John Ford,"['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin']",Moderate
All Quiet on the Western Front,1930,152,8.1,"66,404",$3.27M,Lewis Milestone,"['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",Moderate
Höstsonaten,1978,99,8.1,"36,769",*****,Ingmar Bergman,"['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']",Moderate
It Happened One Night,1934,105,8.1,"1,09,444",$4.36M,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",Moderate
Mary and Max.,2009,92,8.1,"1,83,635",#205,Adam Elliot,"['Toni Collette', 'Philip Seymour Hoffman', 'Eric Bana', 'Barry Humphries']",Moderate
Les quatre cents coups,1959,99,8.1,"1,24,936",#246,François Truffaut,"['Jean-Pierre Léaud', 'Albert Rémy', 'Claire Maurier', 'Guy Decomble']",Moderate
Fanny och Alexander,1982,188,8.1,"66,226",$4.97M,Ingmar Bergman,"['Bertil Guve', 'Pernilla Allwin', 'Kristina Adolphson', 'Börje Ahlstedt']",Moderate
Smultronstället,1957,91,8.1,"1,12,348",#194,Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand']",Moderate
Les diaboliques,1955,117,8.1,"68,307",$1.09M,Henri-Georges Clouzot,"['Simone Signoret', 'Véra Clouzot', 'Paul Meurisse', 'Charles Vanel']",Moderate
Underground,1995,170,8.1,"60,284",$0.17M,Emir Kusturica,"[""Predrag 'Miki' Manojlovic"", 'Lazar Ristovski', 'Mirjana Jokovic', 'Slavko Stimac']",Moderate
Kis Uykusu,2014,196,8.1,"54,210",$0.17M,Nuri Bilge Ceylan,"['Haluk Bilginer', 'Melisa Sözen', 'Demet Akbag', 'Ayberk Pekcan']",Moderate
Tôkyô monogatari,1953,136,8.1,"66,167",#210,Yasujirô Ozu,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura', 'Setsuko Hara']",Moderate
Trois couleurs: Rouge,1994,99,8.1,"1,07,956",$4.04M,Krzysztof Kieslowski,"['Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder', 'Jean-Pierre Lorit']",Moderate
La battaglia di Algeri,1966,121,8.1,"63,955",$0.06M,Gillo Pontecorvo,"['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']",Moderate
The Message,1976,177,8.1,"49,804",*****,Moustapha Akkad,"['Anthony Quinn', 'Irene Papas', 'Michael Ansara', 'Johnny Sekka']",Moderate
Yi yi,2000,173,8.1,"27,241",$1.14M,Edward Yang,"['Nien-Jen Wu', 'Elaine Jin', 'Issei Ogata', 'Kelly Lee']",Moderate
A Woman Under the Influence,1974,155,8.1,"27,702",$13.34M,John Cassavetes,"['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands']",Moderate
Lagaan: Once Upon a Time in India,2001,224,8.1,"1,18,494",$0.91M,Ashutosh Gowariker,"['Aamir Khan', 'Raghubir Yadav', 'Gracy Singh', 'Rachel Shelley']",Moderate
Andrei Rublev,1966,205,8.1,"55,993",$0.10M,Andrei Tarkovsky,"['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko', 'Nikolay Sergeev']",Moderate
Sunrise: A Song of Two Humans,1927,94,8.1,"53,028",$0.54M,F.W. Murnau,"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']",Moderate
Inherit the Wind,1960,128,8.1,"32,056",*****,Stanley Kramer,"['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']",Moderate
La passion de Jeanne d'Arc,1928,110,8.1,"58,853",$0.02M,Carl Theodor Dreyer,"['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']",Moderate
